#       time         integral Re         integral Im         integral Re         integral Im
#       r =            50.000000           50.000000          100.000000          100.000000
 123.0000000    1.1058706798e-05   -5.6679966536e-22    1.1373879211e-06   -4.7253338727e-20
 124.0000000    1.1330566340e-05   -1.0626647158e-20   -5.2206001664e-05   -5.4655803878e-20
 125.0000000    8.3046161012e-06   -1.2947593172e-20   -9.8491248581e-05   -3.6548794420e-20
 126.0000000    3.2454139523e-06   -8.1806223877e-21   -1.3529197193e-04   -5.8904565396e-21
 127.0000000   -1.6608807088e-06    3.3962226494e-22   -1.6117894431e-04    1.2134429393e-20
 128.0000000   -3.9945750602e-06    7.7774881613e-21   -1.7187985641e-04    1.0934655614e-20
 129.0000000   -2.4726082015e-06    9.5854367929e-21   -1.6135102610e-04    1.4382861395e-21
 130.0000000    2.2047402207e-06    5.7072166468e-21   -1.2802326164e-04   -8.9259508937e-21
 131.0000000    7.7097786254e-06   -9.0037317207e-22   -8.0333395678e-05   -1.0528148041e-20
 132.0000000    1.1207160824e-05   -5.7023828101e-21   -3.5099668895e-05   -6.6231317671e-22
 133.0000000    1.0892847165e-05   -6.2908038781e-21   -8.3847728560e-06    1.1803298654e-20
 134.0000000    7.0051080146e-06   -3.2165952095e-21   -5.5489746149e-06    1.8950242544e-20
 135.0000000    1.5377919715e-06    1.8528522604e-21   -1.8428403499e-05    1.8952568990e-20
 136.0000000   -2.8384123710e-06    5.1000531525e-21   -3.1841659848e-05    1.3213874243e-20
 137.0000000   -4.0666945941e-06    4.7566794943e-21   -3.4199061603e-05    5.7815918161e-21
 138.0000000   -1.7646795814e-06    1.0490491937e-21   -2.4241159680e-05   -6.4831185238e-21
 139.0000000    2.7418886638e-06   -2.9441555199e-21   -9.7011830287e-06   -2.0043723616e-20
 140.0000000    7.4664198824e-06   -4.5571835638e-21   -2.1203883111e-07   -2.5192405941e-20
 141.0000000    1.0646724823e-05   -3.1741892784e-21   -5.4088399649e-07   -1.4776676914e-20
 142.0000000    1.0773190841e-05    2.1712198610e-22   -8.7051642680e-06    7.3160247771e-21
 143.0000000    6.9064876372e-06    3.2700776060e-21   -1.8820135563e-05    3.1619495903e-20
 144.0000000    7.9508024125e-09    4.0627492773e-21   -2.5132596733e-05    3.9746959011e-20
 145.0000000   -6.4450528006e-06    2.1078104894e-21   -2.4261776537e-05    2.6770046164e-20
 146.0000000   -8.2182443103e-06   -1.0409680268e-21   -1.5621797573e-05   -6.3130575811e-21
 147.0000000   -3.2614721570e-06   -2.9176211168e-21   -1.5677618923e-06   -3.3992315189e-20
 148.0000000    6.4877624774e-06   -2.6334910388e-21    1.2510984166e-05   -4.4682849124e-20
 149.0000000    1.5520676534e-05   -2.7921546200e-22    1.9707511385e-05   -3.2074574487e-20
 150.0000000    1.7663684177e-05    1.9276797941e-21    1.5449726551e-05   -2.1552837095e-21
 151.0000000    1.0480003057e-05    2.4359790493e-21    1.3794710644e-06    2.4528955391e-20
 152.0000000   -2.2443974080e-06    9.5760373070e-22   -1.4572161193e-05    3.5920137154e-20
 153.0000000   -1.2684299764e-05   -1.1586538560e-21   -2.3166531150e-05    2.4095086235e-20
 154.0000000   -1.4211124037e-05   -2.1950061504e-21   -2.0446932700e-05    2.4989643293e-21
 155.0000000   -5.6629061503e-06   -1.5691519285e-21   -1.0435030979e-05   -1.6417544756e-20
 156.0000000    7.8751470176e-06   -5.8044814546e-23   -1.4845775282e-06   -1.9641937597e-20
 157.0000000    1.8092591215e-05    1.3892046023e-21    6.3876445820e-07   -9.1774654987e-21
 158.0000000    1.8729972043e-05    1.7532448512e-21   -2.9516462845e-06    5.4211349395e-21
 159.0000000    9.7172729631e-06    1.5460070272e-21   -6.0650012474e-06    1.1996548725e-20
